Lote,Semana,Temperatura,Peso_inicio,Peso_fin,Peces,Peso_total,Alimento_semanal,Alimento_acumulado,Precio_alimento,Coste_semanal,Coste_acumulado,Precio_venta,Ingreso_potencial,FeedRate_%,GrowthRate_%,DeathRate_%
1,1,14.04,30.0,30.507643350086674,7089.579500497254,216286.36290325585,11928.0,11928.0,1.11,13.240080000000003,13.240080000000003,0.0,0.0,0.8,0.24,0.02098
1,2,14.63,30.507643350086674,31.023876759202924,7079.174294911393,219623.43088224833,12112.03632258233,24040.03632258233,1.11,13.444360318066385,26.684440318066386,0.0,0.0,0.8,0.24,0.02098
1,3,14.21,31.023876759202924,31.548845583560187,7068.784360795904,223011.98626223518,12298.912129405906,36338.94845198824,1.11,13.651792463640557,40.33623278170694,0.0,0.0,0.8,0.24,0.02098
1,4,13.79,31.548845583560187,32.082697639007044,7058.4096757372145,226452.8234389188,12488.67123068517,48827.61968267341,1.11,13.862425066060538,54.19865784776748,0.0,0.0,0.8,0.24,0.02098
1,5,13.589999999999998,32.082697639007044,32.625583242649824,7048.050217354651,229946.74906468036,12681.358112579454,61508.97779525286,1.11,14.076307504963193,68.27496535273067,0.0,0.0,0.8,0.24,0.02098
1,6,13.0825,32.625583242649824,33.177655255177505,7037.705963300387,233494.58223768717,12877.0179476221,74385.99574287496,1.11,14.293489921860532,82.5684552745912,0.0,0.0,0.8,0.24,0.02098
1,7,12.575,33.177655255177505,33.363896627312556,7026.860778936188,234443.45664294396,8172.310378319051,82558.30612119401,1.11,9.071264519934147,91.63971979452535,0.0,0.0,0.5,0.08,0.022029
1,8,12.8375,33.363896627312556,33.55118345755572,7016.032307123564,235396.18708044064,8205.52098250304,90763.82710369705,1.11,9.108128290578374,100.74784808510373,0.0,0.0,0.5,0.08,0.022029
1,9,13.1,33.55118345755572,34.1189179632146,7005.735044987278,239028.0992719385,13182.186476504676,103946.01358020173,1.11,14.632226988920191,115.38007507402392,0.0,0.0,0.8,0.24,0.02098
1,10,13.09,34.1189179632146,34.69625935708722,6995.452895895354,242716.04799627207,13385.573559228556,117331.58713943028,1.11,14.857986650743698,130.23806172476762,0.0,0.0,0.8,0.24,0.02098
1,11,13.08,34.69625935708722,35.28337020160415,6985.18583766674,246460.89783739796,13592.098687791238,130923.68582722152,1.11,15.087229543448277,145.3252912682159,0.0,0.0,0.8,0.24,0.02098
