episode,timesteps,reward,num_actions,actions_plus_1
107,2120,1.575138,5,"[19, 5, 54, 11, 15]"
108,2132,7.592443,3,"[66, 25, 13]"
109,2156,21.771957,6,"[77, 11, 28, 54, 30, 8]"
110,2176,9.945641,5,"[69, 59, 28, 22, 17]"
111,2188,5.744245,3,"[75, 25, 4]"
112,2208,10.364973,5,"[65, 60, 11, 42, 17]"
113,2224,8.646543,4,"[60, 66, 32, 11]"
114,2244,22.765391,5,"[78, 58, 6, 28, 25]"
115,2256,3.558432,3,"[15, 69, 20]"
116,2272,5.760723,4,"[67, 34, 11, 18]"
117,2288,6.434176,4,"[64, 1, 38, 1]"
118,2316,6.51031,7,"[8, 60, 8, 69, 10, 41, 12]"
119,2328,5.627844,3,"[65, 37, 15]"
120,2344,0.106463,4,"[38, 75, 52, 4]"
121,2356,12.941085,3,"[60, 73, 10]"
122,2372,11.298049,4,"[8, 54, 68, 13]"
123,2384,4.994983,3,"[64, 45, 8]"
124,2400,1.27452,4,"[60, 18, 34, 5]"
125,2420,3.559478,5,"[8, 4, 77, 21, 7]"
126,2436,12.614525,4,"[68, 70, 10, 21]"
127,2456,-5.601877,5,"[18, 26, 30, 15, 15]"
128,2476,11.32976,5,"[71, 78, 15, 18, 13]"
129,2488,5.142182,3,"[72, 36, 22]"
130,2504,18.168751,4,"[77, 35, 17, 14]"
131,2524,3.152013,5,"[10, 3, 62, 35, 7]"
132,2536,12.442866,3,"[70, 52, 8]"
133,2552,-1.047631,4,"[37, 67, 19, 20]"
134,2572,7.181416,5,"[63, 43, 20, 66, 16]"
135,2588,19.951162,4,"[64, 60, 56, 2]"
136,2604,18.450332,4,"[70, 66, 56, 3]"
137,2620,12.688491,4,"[68, 11, 70, 7]"
138,2636,11.411526,4,"[60, 33, 78, 24]"
139,2672,0.358237,9,"[6, 60, 12, 11, 5, 19, 13, 16, 14]"
140,2692,14.160308,5,"[77, 50, 39, 19, 10]"
141,2708,10.354233,4,"[63, 15, 57, 21]"
142,2720,12.937053,3,"[60, 74, 9]"
143,2732,13.115282,3,"[70, 62, 24]"
144,2752,11.610615,5,"[72, 62, 15, 19, 14]"
145,2776,25.912135,6,"[61, 13, 9, 17, 76, 6]"
146,2792,7.622906,4,"[17, 59, 65, 2]"
147,2812,11.874984,5,"[69, 19, 1, 68, 12]"
148,2828,1.874402,4,"[15, 20, 65, 4]"
149,2848,0.958917,5,"[11, 13, 4, 69, 20]"
150,2884,5.146436,9,"[2, 2, 56, 15, 67, 9, 15, 11, 18]"
151,2900,11.529648,4,"[9, 70, 59, 18]"
152,2924,10.193166,6,"[13, 72, 16, 65, 23, 6]"
153,2940,2.939882,4,"[37, 78, 26, 15]"
154,2952,18.564016,3,"[65, 60, 57]"
155,2968,17.457351,4,"[64, 57, 72, 15]"
156,2984,1.256413,4,"[16, 75, 33, 6]"
157,3000,3.888891,4,"[62, 16, 38, 1]"
158,3024,7.541542,6,"[38, 12, 9, 76, 67, 6]"
159,3044,-8.375871,5,"[36, 7, 43, 22, 9]"
160,3056,8.985611,3,"[54, 63, 52]"
161,3076,11.611826,5,"[5, 35, 75, 76, 17]"
162,3096,27.690288,5,"[77, 9, 17, 63, 3]"
163,3112,12.464588,4,"[71, 70, 9, 19]"
164,3128,5.823827,4,"[65, 21, 12, 19]"
165,3144,13.350784,4,"[64, 64, 19, 9]"
166,3160,4.197963,4,"[64, 34, 8, 24]"
167,3172,14.25766,3,"[71, 62, 23]"
168,3188,7.983969,4,"[70, 2, 22, 10]"
169,3208,-6.755037,5,"[19, 24, 7, 47, 7]"
170,3220,11.620356,3,"[75, 59, 9]"
171,3236,22.528164,4,"[77, 74, 29, 2]"
172,3252,18.546507,4,"[65, 74, 66, 3]"
173,3264,5.234533,3,"[72, 38, 20]"
174,3284,9.773621,5,"[62, 65, 40, 21, 7]"
175,3300,5.342724,4,"[62, 8, 2, 32]"
176,3316,9.946524,4,"[52, 65, 63, 15]"
177,3336,20.580745,5,"[65, 68, 17, 54, 4]"
178,3348,6.855599,3,"[70, 34, 13]"
179,3364,22.035893,4,"[78, 74, 28, 15]"
180,3380,11.866112,4,"[57, 62, 28, 9]"
181,3392,20.404977,3,"[77, 16, 11]"
182,3412,9.32266,5,"[60, 70, 9, 36, 20]"
183,3424,11.300828,3,"[64, 32, 60]"
184,3444,7.709679,5,"[73, 36, 57, 33, 9]"
185,3468,8.237388,6,"[60, 64, 16, 20, 29, 6]"
186,3480,12.653785,3,"[72, 57, 1]"
187,3496,17.965336,4,"[64, 64, 53, 14]"
188,3508,5.550022,3,"[14, 65, 25]"
189,3524,10.658675,4,"[70, 70, 33, 22]"
190,3540,19.951162,4,"[64, 60, 56, 2]"
191,3560,6.678678,5,"[69, 11, 11, 12, 14]"
192,3572,12.900149,3,"[69, 59, 15]"
193,3592,12.397084,5,"[64, 64, 11, 17, 13]"
194,3616,10.798221,6,"[64, 72, 2, 22, 33, 15]"
195,3628,12.659791,3,"[72, 60, 11]"
196,3648,17.427773,5,"[69, 58, 13, 66, 2]"
197,3668,10.99252,5,"[70, 73, 24, 25, 3]"
198,3684,17.995051,4,"[77, 16, 12, 25]"
199,3696,13.163726,3,"[69, 77, 23]"
200,3712,12.167408,4,"[72, 5, 67, 12]"
201,3728,12.890065,4,"[64, 76, 27, 2]"
202,3744,6.840197,4,"[67, 24, 18, 8]"
203,3760,19.419813,4,"[65, 70, 57, 3]"
204,3772,20.318912,3,"[78, 19, 7]"
205,3792,21.938301,5,"[78, 8, 64, 31, 1]"
206,3812,13.631003,5,"[69, 64, 7, 27, 15]"
207,3828,12.598049,4,"[2, 77, 64, 13]"
208,3840,1.662872,3,"[24, 74, 6]"
209,3852,12.635732,3,"[61, 77, 5]"
210,3872,30.108701,5,"[76, 5, 60, 61, 6]"
211,3884,6.3109,3,"[66, 33, 18]"
212,3904,9.886964,5,"[29, 70, 71, 16, 22]"
213,3920,16.427948,4,"[73, 66, 4, 65]"
214,3932,11.767482,3,"[64, 54, 12]"
215,3940,10.964665,2,"[73, 57]"
216,3956,11.119486,4,"[65, 9, 77, 18]"
217,3972,12.217312,4,"[68, 23, 59, 6]"
218,3996,1.879235,6,"[62, 7, 4, 50, 28, 5]"
219,4012,8.859591,4,"[73, 75, 24, 23]"
220,4024,14.001839,3,"[64, 73, 19]"
221,4040,0.376325,4,"[54, 19, 38, 6]"
222,4056,16.566457,4,"[53, 72, 61, 9]"
223,4084,2.957745,7,"[71, 13, 38, 27, 18, 15, 13]"
224,4096,19.31257,3,"[78, 33, 6]"
225,4112,13.354256,4,"[64, 66, 30, 22]"
226,4128,1.28777,4,"[9, 67, 51, 3]"
227,4140,24.226738,3,"[76, 69, 24]"
228,4152,4.693557,3,"[75, 27, 15]"
229,4168,18.318603,4,"[71, 71, 59, 7]"
230,4184,18.218384,4,"[76, 9, 39, 6]"
231,4200,14.971004,4,"[65, 2, 64, 25]"
232,4220,6.067222,5,"[64, 8, 7, 30, 8]"
233,4236,17.096256,4,"[60, 71, 70, 7]"
234,4248,19.595444,3,"[76, 39, 2]"
235,4264,23.903304,4,"[78, 65, 12, 14]"
236,4280,2.400849,4,"[15, 72, 15, 15]"
237,4292,6.359086,3,"[67, 27, 23]"
238,4312,8.793269,5,"[13, 76, 1, 51, 2]"
239,4328,6.788846,4,"[2, 76, 37, 2]"
240,4340,20.291527,3,"[78, 25, 1]"
241,4356,10.414124,4,"[8, 69, 57, 9]"
242,4384,11.913775,7,"[69, 62, 4, 1, 1, 19, 13]"
243,4396,19.270255,3,"[77, 23, 17]"
244,4412,19.356293,4,"[68, 75, 58, 7]"
245,4428,13.49092,4,"[61, 71, 17, 20]"
246,4448,8.676348,5,"[73, 13, 65, 12, 19]"
247,4468,10.986865,5,"[64, 68, 17, 54, 5]"
248,4484,7.51938,4,"[75, 71, 34, 2]"
249,4492,15.052311,2,"[65, 78]"
250,4504,11.894031,3,"[65, 56, 9]"
251,4516,6.28464,3,"[64, 39, 1]"
252,4528,12.700713,3,"[63, 64, 16]"
253,4544,20.883822,4,"[65, 65, 57, 8]"
254,4560,17.232393,4,"[78, 33, 37, 8]"
255,4576,7.243552,4,"[17, 67, 56, 16]"
256,4596,13.033948,5,"[33, 16, 75, 33, 25]"
257,4608,5.334319,3,"[64, 31, 22]"
258,4620,4.884367,3,"[73, 28, 16]"
259,4636,13.125568,4,"[71, 63, 34, 1]"
260,4656,24.135846,5,"[76, 60, 20, 10, 16]"
261,4672,15.446595,4,"[65, 65, 1, 25]"
262,4688,21.054452,4,"[64, 67, 60, 4]"
263,4700,13.677983,3,"[65, 64, 14]"
264,4712,24.163005,3,"[77, 77, 15]"
265,4724,12.450738,3,"[62, 76, 18]"
266,4740,14.706192,4,"[60, 65, 57, 13]"
267,4748,8.261358,2,"[60, 57]"
268,4760,6.30545,3,"[69, 29, 19]"
269,4772,11.587894,3,"[71, 59, 39]"
270,4784,12.728594,3,"[54, 69, 20]"
271,4804,10.356062,5,"[71, 64, 22, 33, 5]"
272,4820,11.616806,4,"[64, 17, 74, 1]"
273,4828,0.042133,2,"[50, 54]"
274,4844,19.955251,4,"[76, 1, 27, 13]"
275,4864,10.304431,5,"[65, 76, 7, 39, 8]"
276,4884,12.822117,5,"[64, 34, 69, 33, 8]"
277,4900,23.919828,4,"[77, 55, 31, 6]"
278,4920,9.729693,5,"[2, 63, 62, 52, 3]"
279,4932,15.81404,3,"[64, 59, 7]"
280,4952,11.96225,5,"[69, 6, 24, 56, 1]"
281,4964,8.178583,3,"[71, 23, 10]"
282,4980,6.033274,4,"[65, 10, 37, 5]"
283,5000,10.818873,5,"[71, 71, 1, 34, 18]"
284,5016,6.929988,4,"[23, 59, 60, 14]"
285,5032,19.231776,4,"[54, 65, 73, 3]"
286,5044,15.279276,3,"[64, 60, 6]"
287,5056,15.757615,3,"[65, 65, 13]"
288,5072,10.091792,4,"[12, 61, 61, 22]"
289,5088,13.855535,4,"[2, 64, 73, 17]"
290,5100,10.577632,3,"[75, 57, 11]"
291,5112,7.034391,3,"[65, 17, 22]"
292,5124,29.738236,3,"[77, 29, 76]"
293,5136,16.532491,3,"[64, 70, 9]"
294,5152,6.924844,4,"[64, 11, 7, 22]"
295,5164,11.007456,3,"[75, 64, 4]"
296,5184,6.982894,5,"[65, 2, 1, 34, 2]"
297,5200,5.564254,4,"[63, 11, 29, 1]"
298,5212,15.908179,3,"[67, 63, 13]"
