Lote,Semana,Temperatura,Peso_inicio,Peso_fin,Peces,Peso_total,Alimento_semanal,Alimento_acumulado,Precio_alimento,Coste_semanal,Coste_acumulado,Precio_venta,Ingreso_potencial,FeedRate_%,GrowthRate_%,DeathRate_%
1,1,14.04,30.0,30.507643350086674,7089.579500497254,216286.36290325585,11928.0,11928.0,1.11,13.240080000000003,13.240080000000003,0.0,0.0,0.8,0.24,0.02098
1,2,14.63,30.507643350086674,31.023876759202924,7079.174294911393,219623.43088224833,12112.03632258233,24040.03632258233,1.11,13.444360318066385,26.684440318066386,0.0,0.0,0.8,0.24,0.02098
1,3,14.21,31.023876759202924,31.548845583560187,7068.784360795904,223011.98626223518,12298.912129405906,36338.94845198824,1.11,13.651792463640557,40.33623278170694,0.0,0.0,0.8,0.24,0.02098
1,4,13.79,31.548845583560187,32.082697639007044,7058.4096757372145,226452.8234389188,12488.67123068517,48827.61968267341,1.11,13.862425066060538,54.19865784776748,0.0,0.0,0.8,0.24,0.02098
1,5,13.589999999999998,32.082697639007044,32.625583242649824,7048.050217354651,229946.74906468036,12681.358112579454,61508.97779525286,1.11,14.076307504963193,68.27496535273067,0.0,0.0,0.8,0.24,0.02098
1,6,13.0825,32.625583242649824,33.177655255177505,7037.705963300387,233494.58223768717,12877.0179476221,74385.99574287496,1.11,14.293489921860532,82.5684552745912,0.0,0.0,0.8,0.24,0.02098
1,7,12.575,33.177655255177505,33.363896627312556,7026.860778936188,234443.45664294396,8172.310378319051,82558.30612119401,1.11,9.071264519934147,91.63971979452535,0.0,0.0,0.5,0.08,0.022029
1,8,12.8375,33.363896627312556,33.55118345755572,7016.032307123564,235396.18708044064,8205.52098250304,90763.82710369705,1.11,9.108128290578374,100.74784808510373,0.0,0.0,0.5,0.08,0.022029
1,9,13.1,33.55118345755572,34.1189179632146,7005.735044987278,239028.0992719385,13182.186476504676,103946.01358020173,1.11,14.632226988920191,115.38007507402392,0.0,0.0,0.8,0.24,0.02098
1,10,13.09,34.1189179632146,34.69625935708722,6995.452895895354,242716.04799627207,13385.573559228556,117331.58713943028,1.11,14.857986650743698,130.23806172476762,0.0,0.0,0.8,0.24,0.02098
1,11,13.08,34.69625935708722,35.28337020160415,6985.18583766674,246460.89783739796,13592.098687791238,130923.68582722152,1.11,15.087229543448277,145.3252912682159,0.0,0.0,0.8,0.24,0.02098
1,12,13.07,35.28337020160415,35.88041580998717,6974.933848152938,250263.5267188813,13801.810278894287,144725.4961061158,1.11,15.320009409572659,160.64530067778855,0.0,0.0,0.8,0.24,0.02098
1,13,13.06,35.88041580998717,36.48756429279666,6964.696905237956,254124.82610971187,14014.757496257354,158740.25360237315,1.11,15.556380820845664,176.20168149863423,0.0,0.0,0.8,0.24,0.02098
1,14,13.05,36.48756429279666,37.1049866052666,6954.474986838265,258045.70123329546,14230.990262143865,172971.24386451702,1.11,15.79639919097969,191.99808068961391,0.0,0.0,0.8,0.24,0.02098
1,15,12.65,37.1049866052666,37.313273886729604,6943.7580623486965,259094.34638360378,9031.599543165343,182002.84340768238,1.11,10.02507549291353,202.02315618252743,0.0,0.0,0.5,0.08,0.022029
1,16,12.82,37.313273886729604,37.522730380085356,6933.057652760789,260147.25301413052,9068.302123426132,191071.14553110852,1.11,10.065815357003007,212.08897153953043,0.0,0.0,0.5,0.08,0.022029
1,17,15.045,37.522730380085356,39.565034114050746,6923.366452260032,273923.22986774263,27315.461566483707,218386.60709759223,1.11,30.32016233879692,242.40913387832734,0.0,0.0,1.5,0.76,0.0199809
1,18,15.5825,39.565034114050746,41.718497257246725,6913.688798360479,288428.70717185905,28761.939136112975,247148.54623370522,1.11,31.925752441085404,274.33488631941276,0.0,0.0,1.5,0.76,0.0199809
1,19,16.12,41.718497257246725,43.98917004307148,6904.024672126354,303702.315283727,30285.0142530452,277433.56048675044,1.11,33.616365820880176,307.9512521402929,0.0,0.0,1.5,0.76,0.0199809
2,20,16.0,30.0,31.632853243842813,7090.075443332283,224279.31598670388,22365.0,22365.0,1.11,24.82515,24.82515,0.0,0.0,1.5,0.76,0.0199809
2,21,16.35,31.632853243842813,33.35458014488323,7080.164759456826,236155.9229082806,23549.328178603904,45914.3281786039,1.11,26.139754278250336,50.96490427825034,0.0,0.0,1.5,0.76,0.0199809
2,22,19.68,33.35458014488323,36.71313628742399,7071.187525050794,259605.47132112214,31408.73774680132,77323.06592540522,1.11,34.863698898949465,85.8286031771998,0.0,0.0,1.9,1.38,0.0181233
2,23,21.49,36.71313628742399,41.11260214903802,7062.648390446512,290363.8533949712,36344.76598495711,113667.83191036232,1.11,40.34269024330239,126.1712934205022,0.0,0.0,2.0,1.63,0.0172603
2,24,22.401666666666667,41.11260214903802,46.03927167192403,7054.119567663199,324766.52718188125,40650.93947529597,154318.7713856583,1.11,45.122542817578534,171.29383623808073,0.0,0.0,2.0,1.63,0.0172603
2,25,23.313333333333333,46.03927167192403,52.306682851384394,7046.026753507606,368554.286758092,50014.045186009724,204332.81657166802,1.11,55.5155901564708,226.80942639455154,0.0,0.0,2.2,1.84,0.0163973
2,26,24.225,52.306682851384394,58.292948731019386,7037.943223804925,410262.46351708577,49017.72013882623,253350.53671049426,1.11,54.409669354097126,281.21909574864867,0.0,0.0,1.9,1.56,0.0163973
2,27,26.49,58.292948731019386,66.96027473233626,7030.655889496009,470774.6499091707,77539.60560472922,330890.14231522346,1.11,86.06896222124944,367.2880579698981,0.0,0.0,2.7,2.0,0.0147985
