week,date,Temperatura del Agua(ºC)
195,2021-09-20,25.765
196,2021-09-27,24.33
197,2021-10-04,23.83
198,2021-10-11,23.266
199,2021-10-18,21.96333333333333
200,2021-10-25,21.518
201,2021-11-01,20.91333333333333
202,2021-11-08,18.916
203,2021-11-15,18.616666666666667
204,2021-11-22,17.506666666666664
205,2021-11-29,16.430000000000003
206,2021-12-06,15.71
207,2021-12-13,15.13
208,2021-12-20,14.63
209,2021-12-27,14.66
210,2022-01-03,14.6975
211,2022-01-10,14.5
212,2022-01-17,13.8425
213,2022-01-24,13.71
214,2022-01-31,13.44
215,2022-02-07,13.3975
216,2022-02-14,13.485
217,2022-02-21,13.504
218,2022-02-28,13.525
219,2022-03-07,13.803333333333333
220,2022-03-14,13.35
221,2022-03-21,13.048333333333334
222,2022-03-28,12.746666666666666
223,2022-04-04,12.445
224,2022-04-11,12.98
225,2022-04-18,14.6075
226,2022-04-25,14.59
227,2022-05-02,16.59
228,2022-05-09,16.4625
229,2022-05-16,19.11
230,2022-05-23,21.46666666666667
231,2022-05-30,20.636000000000003
232,2022-06-06,22.304
233,2022-06-13,23.838
234,2022-06-20,25.526666666666667
235,2022-06-27,25.7675
236,2022-07-04,24.76
237,2022-07-11,24.313333333333333
238,2022-07-18,25.56222222222222
239,2022-07-25,26.81111111111111
240,2022-08-01,28.06
241,2022-08-08,28.0625
242,2022-08-15,28.064999999999998
243,2022-08-22,28.0675
244,2022-08-29,28.07
245,2022-09-05,27.33
246,2022-09-12,26.935
247,2022-09-19,26.540000000000003
248,2022-09-26,26.145000000000003
249,2022-10-03,22.67
250,2022-10-10,22.37
251,2022-10-17,22.07
252,2022-10-24,21.770000000000003
253,2022-10-31,21.470000000000002
254,2022-11-07,21.17
255,2022-11-14,20.87
256,2022-11-21,19.515
257,2022-11-28,18.122500000000002
258,2022-12-05,16.73
259,2022-12-12,17.03
260,2022-12-19,16.07
261,2022-12-26,15.48
262,2023-01-02,15.87
263,2023-01-09,15.54
264,2023-01-16,15.1
265,2023-01-23,14.76
266,2023-01-30,13.57
267,2023-02-06,13.381666666666668
268,2023-02-13,13.193333333333333
269,2023-02-20,13.005
270,2023-02-27,13.15
271,2023-03-06,12.84
272,2023-03-13,13.48
273,2023-03-20,13.898333333333333
274,2023-03-27,14.316666666666666
275,2023-04-03,14.735
276,2023-04-10,14.23
277,2023-04-17,15.73
278,2023-04-24,17.01
279,2023-05-01,18.29
280,2023-05-08,19.57
281,2023-05-15,18.05666666666667
282,2023-05-22,17.945
283,2023-05-29,19.5725
284,2023-06-05,21.200000000000003
285,2023-06-12,21.855000000000004
286,2023-06-19,22.51
287,2023-06-26,23.165000000000003
288,2023-07-03,23.82
289,2023-07-10,24.475
290,2023-07-17,25.130000000000003
291,2023-07-24,25.785
292,2023-07-31,26.44
293,2023-08-07,27.095
294,2023-08-14,27.75
295,2023-08-21,27.197499999999998
296,2023-08-28,26.645
297,2023-09-04,26.0925
298,2023-09-11,25.54
299,2023-09-18,26.46
300,2023-09-25,25.916666666666668
301,2023-10-02,25.37333333333333
302,2023-10-09,24.83
303,2023-10-16,23.104999999999997
304,2023-10-23,21.38
305,2023-10-30,20.32
306,2023-11-06,17.445
307,2023-11-13,16.22
308,2023-11-20,16.05
309,2023-11-27,15.88
310,2023-12-04,15.71
311,2023-12-11,15.3475
312,2023-12-18,14.985
313,2023-12-25,14.6225
314,2024-01-01,14.26
315,2024-01-08,14.1375
316,2024-01-15,14.015
317,2024-01-22,13.97
318,2024-01-29,13.922
319,2024-02-05,13.874
320,2024-02-12,13.826
321,2024-02-19,13.778
322,2024-02-26,13.73
323,2024-03-04,13.71
324,2024-03-11,13.69
325,2024-03-18,13.993333333333332
326,2024-03-25,14.296666666666667
327,2024-04-01,14.6
328,2024-04-08,14.87
329,2024-04-15,16.012857142857143
330,2024-04-22,15.744
331,2024-04-29,15.52
332,2024-05-06,16.104000000000003
333,2024-05-13,17.811666666666667
334,2024-05-20,18.46666666666667
335,2024-05-27,18.96
336,2024-06-03,20.5625
337,2024-06-10,20.925
338,2024-06-17,22.42
339,2024-06-24,23.01
340,2024-07-01,23.85
341,2024-07-08,24.102857142857143
342,2024-07-15,25.691666666666663
343,2024-07-22,26.464
344,2024-07-29,26.70142857142857
345,2024-08-05,28.23
346,2024-08-12,28.248
347,2024-08-19,27.69
348,2024-08-26,27.185
349,2024-09-02,27.16
350,2024-09-09,26.635
351,2024-09-16,24.131666666666664
352,2024-09-23,23.73
353,2024-09-30,23.768
354,2024-10-07,23.26
355,2024-10-14,22.67
356,2024-10-21,22.2925
357,2024-10-28,22.215
358,2024-11-04,21.31083333333333
359,2024-11-11,20.406666666666663
360,2024-11-18,19.41333333333333
361,2024-11-25,19.045
362,2024-12-02,18.25
363,2024-12-09,16.595
364,2024-12-16,16.32
365,2024-12-23,15.904
366,2024-12-30,15.56
367,2025-01-06,15.13
