episode,timesteps,reward,num_actions,actions_plus_1
108,2100,-0.426783,5,"[19, 62, 10, 27, 12]"
109,2120,11.53505,5,"[11, 20, 71, 54, 13]"
110,2136,9.93265,4,"[36, 60, 56, 4]"
111,2156,3.001841,5,"[9, 32, 71, 22, 22]"
112,2168,8.922599,3,"[57, 78, 8]"
113,2188,14.799709,5,"[68, 27, 73, 7, 20]"
114,2216,9.709121,7,"[4, 16, 60, 74, 25, 28, 1]"
115,2236,3.702726,5,"[72, 15, 47, 54, 20]"
116,2252,-6.953629,4,"[43, 28, 32, 14]"
117,2264,6.076415,3,"[44, 65, 8]"
118,2288,7.748683,6,"[43, 69, 6, 13, 62, 15]"
119,2304,1.999994,4,"[60, 8, 29, 20]"
120,2324,2.30003,5,"[73, 16, 1, 25, 2]"
121,2336,1.174562,3,"[72, 43, 2]"
122,2352,18.729477,4,"[77, 51, 77, 3]"
123,2376,-5.531715,6,"[3, 16, 46, 72, 51, 20]"
124,2392,4.052439,4,"[68, 25, 25, 12]"
125,2412,-6.713388,5,"[11, 9, 55, 9, 20]"
126,2428,7.148559,4,"[9, 33, 76, 12]"
127,2440,8.326519,3,"[61, 78, 17]"
128,2456,7.510885,4,"[71, 71, 6, 21]"
129,2476,-0.235495,5,"[51, 76, 20, 12, 23]"
130,2492,9.298431,4,"[67, 72, 13, 17]"
131,2508,11.277079,4,"[43, 67, 62, 23]"
132,2524,1.506432,4,"[15, 63, 20, 6]"
133,2544,6.203231,5,"[59, 70, 6, 27, 20]"
134,2564,9.761089,5,"[54, 42, 73, 22, 4]"
135,2592,-1.886811,7,"[39, 2, 36, 25, 60, 9, 24]"
136,2612,11.584999,5,"[75, 22, 63, 21, 14]"
137,2632,0.666575,5,"[77, 27, 25, 27, 13]"
138,2644,10.315604,3,"[74, 73, 22]"
139,2660,10.148807,4,"[77, 10, 61, 8]"
140,2676,1.402849,4,"[19, 69, 12, 17]"
141,2692,-0.000142,4,"[16, 62, 27, 25]"
142,2712,5.457941,5,"[20, 68, 28, 64, 2]"
143,2728,4.422054,4,"[46, 74, 12, 24]"
